Ensembl_Gene_ID	Gene_Symbol	log2FC_DeSeq	p_DeSeq	padj_DeSeq	log2FC_edge	p_edge	padj_edge
ENSG00000231925	TAPBP	1,3920011258	4,21E-115	2,73E-112	1,3480413157	1,26E-68	5,52E-66
ENSG00000133401	PDZD2	2,1935260511	5,54E-28	7,42E-26	2,3248274849	7,95E-40	2,08E-37
ENSG00000178078	STAP2	1,2952219036	7,45E-24	8,36E-22	1,28193951	3,40E-23	4,80E-21
ENSG00000135932	CAB39	0,9721314532	1,64E-51	4,25E-49	0,9256585597	1,46E-35	3,26E-33
ENSG00000159128	IFNGR2	0,9988202655	7,20E-75	2,85E-72	0,9511059149	1,21E-34	2,61E-32
ENSG00000213886	UBD	2,8579336827	3,76E-15	2,66E-13	7,6186044178	3,41E-22	4,51E-20
ENSG00000143457	GOLPH3L	1,0121461468	1,84E-150	1,74E-147	0,9607766432	1,80E-39	4,63E-37
ENSG00000173391	OLR1	2,9243560926	6,94E-16	5,11E-14	7,7114015901	5,57E-23	7,71E-21
ENSG00000156587	UBE2L6	0,8894178865	6,49E-20	6,05E-18	0,8515373492	1,57E-16	1,53E-14
ENSG00000272269	RP11-500C11.3	1,6980944183	2,38E-88	1,26E-85	1,6678950328	4,05E-66	1,70E-63
ENSG00000267607	CTD-2369P2.8	2,7563730961	4,52E-14	2,98E-12	7,4805566417	1,05E-20	1,30E-18
ENSG00000010030	ETV7	2,7457566819	2,29E-19	2,09E-17	3,5462544329	2,05E-25	3,29E-23
ENSG00000178038	ALS2CL	0,8197910042	1,21E-16	9,34E-15	0,7803985197	1,34E-12	9,59E-11
ENSG00000154639	CXADR	-0,990316646	1,28E-33	2,11E-31	-1,0564152322	1,54E-29	2,77E-27
ENSG00000165801	ARHGEF40	1,5270420873	1,41E-64	4,72E-62	1,4957938646	1,09E-51	3,79E-49
ENSG00000171227	TMEM37	-1,6561979626	5,51E-13	3,30E-11	-1,9016765305	1,14E-16	1,12E-14
ENSG00000145779	TNFAIP8	1,2807471389	1,29E-95	7,04E-93	1,2349523996	1,40E-55	5,28E-53
ENSG00000162616	DNAJB4	-0,6067247562	1,78E-20	1,72E-18	-0,6648872946	1,48E-19	1,73E-17
ENSG00000132530	XAF1	1,1147952712	4,55E-24	5,18E-22	1,0866278536	9,62E-23	1,32E-20
ENSG00000130589	HELZ2	1,2437473572	3,62E-48	8,24E-46	1,2062416729	8,37E-46	2,52E-43
ENSG00000119922	IFIT2	1,5683661644	2,62E-14	1,76E-12	1,6562895595	2,72E-16	2,58E-14
ENSG00000152689	RASGRP3	1,3095308987	1,10E-27	1,44E-25	1,2913579655	9,56E-31	1,82E-28
ENSG00000154721	JAM2	2,3790773905	3,68E-19	3,30E-17	2,7582655566	1,60E-23	2,30E-21
ENSG00000124212	PTGIS	1,3819788964	4,00E-34	6,86E-32	1,3607275428	7,75E-29	1,35E-26
ENSG00000125898	FAM110A	0,8045004636	2,60E-12	1,49E-10	0,7699331901	5,45E-11	3,40E-09
ENSG00000132003	ZSWIM4	1,7835170325	5,00E-74	1,92E-71	1,7616984729	1,40E-72	6,76E-70
ENSG00000153721	CNKSR3	1,5744433499	6,00E-29	8,43E-27	1,581266048	8,85E-39	2,23E-36
ENSG00000119714	GPR68	1,5883448343	3,47E-14	2,31E-12	1,6813999238	1,50E-15	1,35E-13
ENSG00000163121	NEURL3	2,6317169091	1,88E-13	1,18E-11	4,8947295863	2,82E-18	3,10E-16
ENSG00000204261	TAPSAR1	1,6732727579	1,31E-20	1,27E-18	1,7286495357	2,63E-22	3,53E-20
ENSG00000152784	PRDM8	1,3294980537	6,03E-25	7,07E-23	1,3177095327	2,45E-23	3,50E-21
ENSG00000155130	MARCKS	0,389283379	3,74E-63	1,23E-60	0,3369290495	4,18E-07	1,60E-05
ENSG00000149212	SESN3	-0,8914593198	1,68E-07	5,91E-06	-0,9948166535	7,71E-13	5,65E-11
ENSG00000100368	CSF2RB	1,086522779	3,49E-32	5,51E-30	1,0499093721	5,70E-33	1,17E-30
ENSG00000143466	IKBKE	1,2168233217	1,88E-88	1,01E-85	1,1726116768	3,24E-48	1,04E-45
ENSG00000167207	NOD2	2,8852388221	1,67E-18	1,44E-16	4,1387725935	8,46E-24	1,26E-21
ENSG00000100678	SLC8A3	2,5233254885	4,79E-12	2,67E-10	5,436416856	9,64E-17	9,51E-15
ENSG00000169085	C8orf46	2,941671321	4,65E-21	4,64E-19	3,9179192668	7,17E-28	1,23E-25
ENSG00000196776	CD47	1,0707635309	1,33E-137	1,12E-134	1,0211094014	8,26E-44	2,40E-41
ENSG00000102934	PLLP	1,7532332461	2,11E-39	3,99E-37	1,7574549603	3,20E-37	7,74E-35
ENSG00000160190	SLC37A1	0,9052511881	3,83E-22	3,97E-20	0,8662438352	9,61E-17	9,51E-15
ENSG00000167191	GPRC5B	1,3823338032	7,36E-50	1,77E-47	1,3510883965	5,59E-51	1,90E-48
ENSG00000178882	FAM101A	1,1246788915	8,01E-53	2,15E-50	1,0828435301	1,93E-39	4,90E-37
ENSG00000104825	NFKBIB	0,8519681937	5,10E-30	7,40E-28	0,8083231505	7,72E-22	1,01E-19
ENSG00000119801	YPEL5	0,8523382261	1,67E-50	4,09E-48	0,8034326357	4,90E-26	8,03E-24
ENSG00000181634	TNFSF15	1,4462287321	9,83E-34	1,63E-31	1,4304497633	2,37E-37	5,79E-35
ENSG00000129667	RHBDF2	1,209845191	1,05E-75	4,26E-73	1,1649981551	6,94E-44	2,05E-41
ENSG00000184602	SNN	0,8182838637	5,33E-28	7,16E-26	0,7740862573	1,48E-20	1,81E-18
ENSG00000100365	NCF4	2,8941165274	1,79E-17	1,45E-15	4,558251281	4,52E-24	6,78E-22
ENSG00000183018	SPNS2	0,936925318	9,23E-53	2,46E-50	0,8902983353	1,71E-29	3,07E-27
ENSG00000166949	SMAD3	1,3327042892	7,64E-157	7,45E-154	1,2851538162	1,07E-71	4,98E-69
ENSG00000130066	SAT1	1,1386827323	5,30E-51	1,33E-48	1,0984598053	4,24E-40	1,13E-37
ENSG00000110218	PANX1	1,0768063745	1,86E-23	2,05E-21	1,0458454628	7,65E-29	1,34E-26
ENSG00000160179	ABCG1	1,1978020136	1,21E-42	2,48E-40	1,1614780131	1,63E-33	3,40E-31
ENSG00000139899	CBLN3	1,7749568374	4,03E-34	6,87E-32	1,7931732267	3,03E-33	6,29E-31
ENSG00000090776	EFNB1	1,1141491289	4,80E-60	1,48E-57	1,0699057643	7,00E-41	1,91E-38
ENSG00000164400	CSF2	2,3154339761	2,30E-10	1,11E-08	4,5542622849	2,10E-13	1,62E-11
ENSG00000175155	YPEL2	0,9774657309	1,25E-18	1,10E-16	0,9464573628	2,72E-23	3,87E-21
ENSG00000003137	CYP26B1	-2,2810006304	7,15E-26	8,78E-24	-2,5718415447	3,28E-37	7,89E-35
ENSG00000205220	PSMB10	1,0542295728	1,89E-18	1,62E-16	1,0292991652	3,63E-16	3,41E-14
ENSG00000079156	OSBPL6	-0,8423507153	7,56E-14	4,92E-12	-0,9160285066	2,97E-15	2,58E-13
ENSG00000196878	LAMB3	0,9779145641	3,68E-49	8,64E-47	0,9332660731	2,34E-30	4,34E-28
ENSG00000251136	RP11-37B2.1	1,175736767	3,11E-10	1,48E-08	1,203718483	8,06E-11	4,92E-09
ENSG00000198832	SELM	1,3243560198	6,61E-21	6,55E-19	1,321494591	1,58E-24	2,43E-22
ENSG00000164035	EMCN	-0,8148736922	6,62E-38	1,22E-35	-0,8736185363	1,02E-28	1,77E-26
ENSG00000166900	STX3	-0,8112382042	3,76E-52	9,87E-50	-0,869513786	3,29E-31	6,42E-29
ENSG00000141682	PMAIP1	0,9122773462	1,14E-53	3,16E-51	0,8638748761	6,22E-29	1,09E-26
ENSG00000131669	NINJ1	0,9331764029	4,06E-34	6,89E-32	0,8906736714	8,86E-26	1,44E-23
ENSG00000069399	BCL3	1,4399547434	1,70E-47	3,81E-45	1,413913047	3,29E-46	1,00E-43
ENSG00000079102	RUNX1T1	-0,9307608665	3,98E-50	9,63E-48	-0,9911151505	2,07E-36	4,86E-34
ENSG00000227908	CTD-2031P19.3	2,0177091282	6,98E-14	4,56E-12	2,3325227057	4,64E-17	4,65E-15
ENSG00000166224	SGPL1	0,8871825355	8,85E-28	1,17E-25	0,8439625523	7,13E-25	1,11E-22
ENSG00000175183	CSRP2	0,8824094002	2,94E-12	1,67E-10	0,8563780143	1,68E-12	1,20E-10
ENSG00000138675	FGF5	1,2083757651	8,68E-21	8,49E-19	1,192502468	2,25E-25	3,60E-23
ENSG00000186827	TNFRSF4	2,6818395281	2,12E-13	1,33E-11	5,8841358772	1,11E-17	1,18E-15
ENSG00000112299	VNN1	2,4478075376	5,52E-14	3,63E-12	3,3660978538	1,64E-17	1,72E-15
ENSG00000178860	MSC	2,3445126763	7,26E-11	3,68E-09	4,183307096	4,71E-14	3,78E-12
ENSG00000155324	GRAMD3	1,197404697	1,20E-10	5,94E-09	1,2255824988	6,50E-11	4,00E-09
ENSG00000185442	FAM174B	-0,7748105921	7,12E-21	7,00E-19	-0,836626047	7,24E-22	9,49E-20
ENSG00000136883	KIF12	2,0232192296	1,85E-15	1,33E-13	2,2885773567	1,13E-18	1,27E-16
ENSG00000235947	EGOT	2,1402394932	1,02E-08	4,11E-07	6,7704547822	2,96E-12	2,03E-10
ENSG00000124721	DNAH8	-1,1389188952	5,99E-10	2,80E-08	-1,2678732696	2,92E-17	2,97E-15
ENSG00000159231	CBR3	1,5830629434	3,55E-48	8,15E-46	1,5647327275	2,29E-52	8,13E-50
ENSG00000065491	TBC1D22B	0,8987471183	4,95E-33	8,04E-31	0,8538972942	2,30E-26	3,80E-24
ENSG00000169242	EFNA1	1,430822148	8,26E-34	1,38E-31	1,4165954554	4,27E-40	1,13E-37
ENSG00000231360	AL592284.1	2,1385181127	3,12E-12	1,77E-10	2,7073184262	4,36E-15	3,72E-13
ENSG00000221926	TRIM16	0,7484751576	1,22E-21	1,24E-19	0,7029520377	3,73E-14	3,02E-12
