Locus	FPKM(9DPA)	FPKM(Control)	Fold_Change	P-value	LOG_FC
c49321_g6	2,4773203364	10,2133339614	0,2425574593	1,77E-24	-0,6151853651
c47618_g2	0,4460067728	14,8364072894	0,0300616426	1,70E-51	-1,5219872934
c62306_g3	0,4639077249	3,7430522637	0,1239383509	1,58E-33	-0,9067942868
c45826_g2	4,1456223556	12,7254804058	0,3257733479	1,53E-52	-0,487084449
c54241_g3	0,8438130042	4,765829936	0,177054787	5,42E-35	-0,7518923268
c51216_g1	1,0636387008	3,6134729143	0,2943535834	4,48E-06	-0,5311306728
c46843_g2	1096,1619111215	5678,1691682133	0,1930484772	0	-0,7143336199
c34219_g2	35,3995556778	199,1978336632	0,1777105455	0	-0,7502868001
c59550_g1	5,7503341807	19,9969328674	0,2875608084	9,61E-45	-0,5412703042
c55503_g1	10,690497598	39,4858737609	0,2707423334	1,20E-167	-0,5674438324
c26365_g1	0,9899391843	3,5207405042	0,2811735722	3,04E-07	-0,5510255015
c46329_g1	2,6438893713	9,018236452	0,2931714405	5,05E-42	-0,5328783391
c34600_g2	0,6508655267	4,0768428943	0,1596494012	1,92E-09	-0,7968327061
c41681_g1	1,3283274868	4,3515258236	0,305255568	6,63E-10	-0,5153364056
c41395_g1	15,967103731	67,9263418023	0,2350649734	8,50E-231	-0,6288120794
c47639_g3	4,2339597502	16,1819151785	0,2616476297	1,83E-44	-0,5822831953
c55931_g3	0,5555102278	3,1453681282	0,17661215	1,39E-06	-0,7529794224
c42884_g1	5,5368968938	18,1108012318	0,3057234643	1,29E-37	-0,5146712279
c57619_g1	5,3845787212	18,2302464989	0,2953651077	4,51E-119	-0,5296408104
c40936_g1	3,1485270678	35,1023083102	0,0896957271	6,88E-164	-1,0472282451
c51293_g3	0,8973070114	3,4866057429	0,2573583243	1,44E-18	-0,5894617799
c42820_g1	0,9107973764	3,4810075577	0,2616476297	5,86E-09	-0,5822831953
c44943_g2	0,9151158825	8,2315195615	0,1111721688	6,23E-39	-0,9540039217
c47286_g2	92,0800381319	281,1590259973	0,3275016258	0	-0,4847865397
c50206_g3	1,2042529413	3,9121890818	0,3078207408	2,86E-13	-0,511702121
c53512_g3	1,6373891632	9,1831858489	0,1783029539	1,59E-49	-0,7488414619
c40405_g1	8,0564127799	28,6857058779	0,2808511254	6,35E-104	-0,5515238315
c53508_g2	2,4956031434	7,5656602111	0,3298592686	9,71E-38	-0,4816713084
c49464_g1	1,2374239804	4,1381838015	0,2990258625	1,50E-06	-0,5242912483
c53130_g3	1,1405995716	3,9319144049	0,2900875894	3,23E-07	-0,5374708508
c59390_g1	0,9336587563	4,1322747484	0,2259430491	9,23E-51	-0,6460010148
c53389_g1	0,9879066419	3,0872647968	0,3199941394	1,56E-22	-0,4948579755
c52399_g1	12,9156127957	56,7355444256	0,2276458775	2,24E-133	-0,6427402101
c33733_g1	1,041258706	3,4013864642	0,3061277267	2,06E-05	-0,5140973335
c58300_g2	6,5671030852	19,7979799751	0,3317057141	2,69E-89	-0,4792470471
c47563_g1	1,3789246568	5,6792582915	0,2428001309	2,17E-36	-0,6147510834
c55003_g3	11,8286552832	44,6109936214	0,2651511281	1,38E-150	-0,5765065209
c49362_g1	1,5741306304	5,8080118021	0,2710274504	5,76E-25	-0,5669867204
c53348_g2	5,6891909534	21,9389426939	0,2593192859	7,94E-85	-0,586165183
c59447_g1	1,1093164364	5,2491948777	0,2113307778	9,45E-45	-0,6750372485
c49417_g2	0,5788509936	7,1812945673	0,0806053823	4,32E-75	-1,0936359582
c58495_g5	1,2042529413	10,5859233978	0,113759839	1,95E-34	-0,9440110313
c37925_g1	0,8210414002	12,2836622907	0,066840115	8,77E-45	-1,1749628115
c47313_g1	1,5896138825	7,2754784318	0,2184892578	5,56E-12	-0,6605699106
c52964_g2	2,8115619691	10,9303834996	0,2572244578	2,48E-73	-0,5896877396
c49159_g1	0,7667896279	4,1517108623	0,1846924445	8,97E-08	-0,7335508706
c48384_g1	11,4064288603	48,6650788226	0,2343863225	1,27E-176	-0,6300677349
c55327_g2	1,1869928609	8,2251032419	0,14431343	1,30E-74	-0,840693251
c60639_g2	3,548884597	11,3153555786	0,3136343858	6,41E-36	-0,5035763288
c51888_g1	1,7780575933	5,8727571265	0,3027636858	5,02E-07	-0,5188962164
c52842_g2	1,4384687237	5,1988015862	0,2766923684	7,86E-19	-0,5580028192
c41196_g1	0,4009281134	93,3013128313	0,0042971326	0	-2,3668212443
c59645_g1	3,1287821695	11,2033166664	0,2792728495	9,55E-47	-0,5539712837
c57981_g4	1,099201089	5,3939717262	0,20378325	2,28E-13	-0,6908315157
c56358_g1	0,9924769957	3,0072070982	0,3300328056	8,16E-11	-0,4814428886
c51285_g1	3,6424759941	13,6635013252	0,2665843774	2,29E-25	-0,574165305
c61115_g1	10,3852968306	31,4508011532	0,3302077038	3,43E-120	-0,4812127988
c46213_g4	1,4280677563	4,4234616163	0,322839414	4,93E-06	-0,4910134496
c39110_g1	1,0172634551	3,2707847054	0,311015107	1,45E-05	-0,5072185154
c44708_g1	0,2609214706	3,1341346706	0,0832515185	4,02E-19	-1,0796078361
c15218_g1	3,908507461	14,4273551372	0,2709094927	1,55E-31	-0,567175777
c38723_g1	2,3993430885	11,8366232321	0,2027050318	9,36E-33	-0,6931354706

